,Unnamed: 0,height,img_name,label,width,x,y,Path
214,214,43,n1000.mha,1,75,718,751,/proccessed_data/images/n1000.mha
215,215,52,n0303.mha,1,40,649,263,/proccessed_data/images/n0303.mha
216,216,116,n0303.mha,1,100,678,384,/proccessed_data/images/n0303.mha
217,217,41,n0303.mha,1,40,768,569,/proccessed_data/images/n0303.mha
218,218,36,n0334.mha,1,32,769,444,/proccessed_data/images/n0334.mha
219,219,32,n0067.mha,1,35,144,651,/proccessed_data/images/n0067.mha
220,220,79,n0050.mha,1,105,224,536,/proccessed_data/images/n0050.mha
221,221,98,n0050.mha,1,90,215,613,/proccessed_data/images/n0050.mha
222,222,46,n0953.mha,1,48,731,421,/proccessed_data/images/n0953.mha
223,223,25,n0843.mha,1,21,842,431,/proccessed_data/images/n0843.mha
224,224,52,n0581.mha,1,44,657,687,/proccessed_data/images/n0581.mha
225,225,33,n0007.mha,1,44,249,584,/proccessed_data/images/n0007.mha
226,226,34,n0430.mha,1,31,834,685,/proccessed_data/images/n0430.mha
227,227,41,n0674.mha,1,45,202,435,/proccessed_data/images/n0674.mha
230,230,66,n0849.mha,1,59,280,466,/proccessed_data/images/n0849.mha
231,231,71,n0849.mha,1,83,337,265,/proccessed_data/images/n0849.mha
232,232,46,n1120.mha,1,37,283,650,/proccessed_data/images/n1120.mha
233,233,38,n1124.mha,1,37,727,568,/proccessed_data/images/n1124.mha
234,234,53,n1124.mha,1,44,786,743,/proccessed_data/images/n1124.mha
235,235,56,n1009.mha,1,49,887,651,/proccessed_data/images/n1009.mha
236,236,43,n1009.mha,1,44,222,545,/proccessed_data/images/n1009.mha
237,237,67,n0138.mha,1,72,126,548,/proccessed_data/images/n0138.mha
238,238,52,n0138.mha,1,64,189,634,/proccessed_data/images/n0138.mha
239,239,24,n0138.mha,1,27,806,521,/proccessed_data/images/n0138.mha
240,240,79,n0250.mha,1,88,152,755,/proccessed_data/images/n0250.mha
241,241,49,n0222.mha,1,51,757,364,/proccessed_data/images/n0222.mha
242,242,40,n0686.mha,1,32,809,803,/proccessed_data/images/n0686.mha
243,243,56,n0429.mha,1,73,754,543,/proccessed_data/images/n0429.mha
244,244,23,n0954.mha,1,37,235,310,/proccessed_data/images/n0954.mha
245,245,57,n0906.mha,1,51,362,643,/proccessed_data/images/n0906.mha
249,249,12,n1029.mha,1,13,370,609,/proccessed_data/images/n1029.mha
250,250,27,n0140.mha,1,27,265,477,/proccessed_data/images/n0140.mha
251,251,43,n0689.mha,1,32,296,291,/proccessed_data/images/n0689.mha
253,253,28,n0415.mha,1,24,790,251,/proccessed_data/images/n0415.mha
254,254,72,n0415.mha,1,98,734,326,/proccessed_data/images/n0415.mha
255,255,46,n0415.mha,1,65,228,382,/proccessed_data/images/n0415.mha
256,256,66,n0257.mha,1,61,776,741,/proccessed_data/images/n0257.mha
257,257,49,n0284.mha,1,41,263,417,/proccessed_data/images/n0284.mha
258,258,51,n0961.mha,1,53,252,375,/proccessed_data/images/n0961.mha
259,259,110,n0961.mha,1,91,246,470,/proccessed_data/images/n0961.mha
260,260,61,n0961.mha,1,47,690,386,/proccessed_data/images/n0961.mha
261,261,61,n0696.mha,1,50,190,677,/proccessed_data/images/n0696.mha
262,262,26,n0696.mha,1,31,244,534,/proccessed_data/images/n0696.mha
263,263,52,n0696.mha,1,38,282,466,/proccessed_data/images/n0696.mha
264,264,42,n0350.mha,1,47,305,477,/proccessed_data/images/n0350.mha
265,265,44,n0526.mha,1,57,255,663,/proccessed_data/images/n0526.mha
266,266,47,n0031.mha,1,43,765,638,/proccessed_data/images/n0031.mha
267,267,153,n0150.mha,1,103,92,623,/proccessed_data/images/n0150.mha
268,268,102,n0151.mha,1,96,772,531,/proccessed_data/images/n0151.mha
269,269,52,n0151.mha,1,52,290,467,/proccessed_data/images/n0151.mha
273,273,76,n0332.mha,1,54,270,334,/proccessed_data/images/n0332.mha
274,274,31,n1024.mha,1,29,807,637,/proccessed_data/images/n1024.mha
276,276,32,n0396.mha,1,27,786,485,/proccessed_data/images/n0396.mha
278,278,83,n0516.mha,1,93,320,427,/proccessed_data/images/n0516.mha
279,279,86,n0512.mha,1,97,390,139,/proccessed_data/images/n0512.mha
281,281,67,n0112.mha,1,64,761,709,/proccessed_data/images/n0112.mha
285,285,28,n0382.mha,1,23,697,463,/proccessed_data/images/n0382.mha
286,286,26,n1119.mha,1,24,224,783,/proccessed_data/images/n1119.mha
287,287,86,n1119.mha,1,66,812,631,/proccessed_data/images/n1119.mha
288,288,39,n0952.mha,1,49,286,278,/proccessed_data/images/n0952.mha
289,289,71,n0141.mha,1,89,361,317,/proccessed_data/images/n0141.mha
290,290,97,n1089.mha,1,86,334,514,/proccessed_data/images/n1089.mha
291,291,80,n0899.mha,1,55,62,629,/proccessed_data/images/n0899.mha
292,292,119,n0899.mha,1,54,109,391,/proccessed_data/images/n0899.mha
293,293,103,n0545.mha,1,63,607,605,/proccessed_data/images/n0545.mha
294,294,44,n0438.mha,1,41,187,386,/proccessed_data/images/n0438.mha
295,295,74,n0044.mha,1,69,639,390,/proccessed_data/images/n0044.mha
296,296,46,n0044.mha,1,42,716,430,/proccessed_data/images/n0044.mha
300,300,54,n0087.mha,1,46,289,230,/proccessed_data/images/n0087.mha
301,301,47,n0087.mha,1,41,161,661,/proccessed_data/images/n0087.mha
302,302,47,n0087.mha,1,36,627,583,/proccessed_data/images/n0087.mha
303,303,108,n0164.mha,1,106,284,342,/proccessed_data/images/n0164.mha
304,304,79,n0164.mha,1,75,382,341,/proccessed_data/images/n0164.mha
305,305,25,n0806.mha,1,19,688,414,/proccessed_data/images/n0806.mha
306,306,51,n0806.mha,1,58,684,640,/proccessed_data/images/n0806.mha
307,307,35,n0828.mha,1,44,190,372,/proccessed_data/images/n0828.mha
308,308,81,n0289.mha,1,65,314,278,/proccessed_data/images/n0289.mha
309,309,159,n0289.mha,1,110,307,617,/proccessed_data/images/n0289.mha
310,310,46,n0289.mha,1,43,864,448,/proccessed_data/images/n0289.mha
311,311,39,n0243.mha,1,31,792,414,/proccessed_data/images/n0243.mha
312,312,95,n0681.mha,1,97,620,759,/proccessed_data/images/n0681.mha
313,313,65,n0448.mha,1,77,311,543,/proccessed_data/images/n0448.mha
314,314,40,n0620.mha,1,39,713,445,/proccessed_data/images/n0620.mha
315,315,68,n0075.mha,1,57,643,475,/proccessed_data/images/n0075.mha
316,316,68,n0775.mha,1,73,199,736,/proccessed_data/images/n0775.mha
317,317,60,n0775.mha,1,58,238,525,/proccessed_data/images/n0775.mha
324,324,48,n0648.mha,1,49,734,576,/proccessed_data/images/n0648.mha
325,325,55,n0648.mha,1,43,271,653,/proccessed_data/images/n0648.mha
326,326,61,n0192.mha,1,66,672,550,/proccessed_data/images/n0192.mha
327,327,71,n0192.mha,1,81,147,672,/proccessed_data/images/n0192.mha
328,328,60,n0376.mha,1,66,328,637,/proccessed_data/images/n0376.mha
329,329,64,n1130.mha,1,61,634,297,/proccessed_data/images/n1130.mha
330,330,44,n1130.mha,1,41,781,564,/proccessed_data/images/n1130.mha
331,331,37,n1130.mha,1,33,213,634,/proccessed_data/images/n1130.mha
332,332,38,n0467.mha,1,24,742,406,/proccessed_data/images/n0467.mha
333,333,26,n0467.mha,1,23,659,657,/proccessed_data/images/n0467.mha
334,334,131,n0711.mha,1,97,187,151,/proccessed_data/images/n0711.mha
335,335,27,n0340.mha,1,44,179,658,/proccessed_data/images/n0340.mha
336,336,34,n0340.mha,1,32,269,514,/proccessed_data/images/n0340.mha
337,337,40,n0390.mha,1,40,117,739,/proccessed_data/images/n0390.mha
338,338,77,n1054.mha,1,86,198,531,/proccessed_data/images/n1054.mha
339,339,49,n0051.mha,1,51,755,333,/proccessed_data/images/n0051.mha
340,340,29,n0051.mha,1,24,819,487,/proccessed_data/images/n0051.mha
341,341,19,n0051.mha,1,26,151,349,/proccessed_data/images/n0051.mha
342,342,21,n0073.mha,1,21,695,208,/proccessed_data/images/n0073.mha
343,343,53,n0073.mha,1,42,371,249,/proccessed_data/images/n0073.mha
344,344,48,n1077.mha,1,52,272,643,/proccessed_data/images/n1077.mha
346,346,42,n0884.mha,1,51,653,421,/proccessed_data/images/n0884.mha
347,347,76,n0757.mha,1,47,411,516,/proccessed_data/images/n0757.mha
348,348,85,n0757.mha,1,88,289,463,/proccessed_data/images/n0757.mha
349,349,80,n0757.mha,1,69,219,402,/proccessed_data/images/n0757.mha
350,350,44,n0205.mha,1,47,247,545,/proccessed_data/images/n0205.mha
351,351,52,n0718.mha,1,49,112,676,/proccessed_data/images/n0718.mha
354,354,92,n0052.mha,1,99,340,324,/proccessed_data/images/n0052.mha
355,355,33,n0380.mha,1,28,142,545,/proccessed_data/images/n0380.mha
356,356,51,n0827.mha,1,60,125,751,/proccessed_data/images/n0827.mha
357,357,59,n0907.mha,1,55,301,563,/proccessed_data/images/n0907.mha
358,358,51,n0907.mha,1,39,226,591,/proccessed_data/images/n0907.mha
361,361,43,n0816.mha,1,69,675,364,/proccessed_data/images/n0816.mha
362,362,31,n0155.mha,1,32,857,347,/proccessed_data/images/n0155.mha
363,363,55,n0155.mha,1,90,360,666,/proccessed_data/images/n0155.mha
364,364,55,n0155.mha,1,53,336,709,/proccessed_data/images/n0155.mha
365,365,31,n0645.mha,1,35,812,719,/proccessed_data/images/n0645.mha
366,366,71,n1052.mha,1,78,367,655,/proccessed_data/images/n1052.mha
367,367,47,n0767.mha,1,57,720,535,/proccessed_data/images/n0767.mha
369,369,29,n0959.mha,1,33,319,748,/proccessed_data/images/n0959.mha
370,370,68,n0527.mha,1,50,281,676,/proccessed_data/images/n0527.mha
371,371,70,n0299.mha,1,50,113,448,/proccessed_data/images/n0299.mha
372,372,84,n0972.mha,1,80,769,686,/proccessed_data/images/n0972.mha
373,373,30,n0752.mha,1,36,793,532,/proccessed_data/images/n0752.mha
374,374,45,n0752.mha,1,39,606,586,/proccessed_data/images/n0752.mha
375,375,52,n0283.mha,1,48,311,627,/proccessed_data/images/n0283.mha
376,376,110,n0887.mha,1,108,199,392,/proccessed_data/images/n0887.mha
377,377,35,n0887.mha,1,43,163,756,/proccessed_data/images/n0887.mha
378,378,54,n0482.mha,1,45,410,654,/proccessed_data/images/n0482.mha
379,379,65,n0695.mha,1,66,210,576,/proccessed_data/images/n0695.mha
380,380,50,n0695.mha,1,62,216,524,/proccessed_data/images/n0695.mha
381,381,65,n0695.mha,1,56,828,643,/proccessed_data/images/n0695.mha
383,383,103,n0494.mha,1,85,249,485,/proccessed_data/images/n0494.mha
387,387,50,n0716.mha,1,52,158,749,/proccessed_data/images/n0716.mha
388,388,61,n0834.mha,1,62,738,616,/proccessed_data/images/n0834.mha
389,389,52,n0834.mha,1,59,287,458,/proccessed_data/images/n0834.mha
390,390,65,n0025.mha,1,60,742,443,/proccessed_data/images/n0025.mha
391,391,50,n0937.mha,1,49,310,385,/proccessed_data/images/n0937.mha
392,392,62,n0517.mha,1,70,724,396,/proccessed_data/images/n0517.mha
399,399,51,n0533.mha,1,48,223,528,/proccessed_data/images/n0533.mha
400,400,80,n0840.mha,1,54,805,477,/proccessed_data/images/n0840.mha
401,401,51,n0285.mha,1,48,175,637,/proccessed_data/images/n0285.mha
402,402,38,n0285.mha,1,36,156,713,/proccessed_data/images/n0285.mha
403,403,43,n0285.mha,1,44,818,585,/proccessed_data/images/n0285.mha
404,404,103,n0964.mha,1,79,172,494,/proccessed_data/images/n0964.mha
405,405,109,n0964.mha,1,88,639,242,/proccessed_data/images/n0964.mha
406,406,57,n0964.mha,1,65,614,157,/proccessed_data/images/n0964.mha
407,407,33,n0894.mha,1,36,798,576,/proccessed_data/images/n0894.mha
408,408,27,n0894.mha,1,39,273,530,/proccessed_data/images/n0894.mha
409,409,48,n0832.mha,1,59,742,488,/proccessed_data/images/n0832.mha
410,410,59,n0832.mha,1,69,328,657,/proccessed_data/images/n0832.mha
411,411,33,n0832.mha,1,32,746,414,/proccessed_data/images/n0832.mha
412,412,41,n1061.mha,1,35,820,430,/proccessed_data/images/n1061.mha
413,413,40,n0714.mha,1,34,202,521,/proccessed_data/images/n0714.mha
415,415,63,n0858.mha,1,50,826,622,/proccessed_data/images/n0858.mha
416,416,55,n0295.mha,1,56,307,635,/proccessed_data/images/n0295.mha
417,417,51,n0295.mha,1,44,695,758,/proccessed_data/images/n0295.mha
418,418,25,n0295.mha,1,29,790,770,/proccessed_data/images/n0295.mha
419,419,22,n0017.mha,1,27,169,585,/proccessed_data/images/n0017.mha
420,420,45,n0897.mha,1,44,351,610,/proccessed_data/images/n0897.mha
421,421,108,n0801.mha,1,102,214,643,/proccessed_data/images/n0801.mha
423,423,52,n0624.mha,1,46,196,648,/proccessed_data/images/n0624.mha
426,426,52,n0279.mha,1,49,672,312,/proccessed_data/images/n0279.mha
427,427,60,n0367.mha,1,49,134,592,/proccessed_data/images/n0367.mha
428,428,68,n0687.mha,1,59,175,443,/proccessed_data/images/n0687.mha
429,429,41,n0687.mha,1,38,158,526,/proccessed_data/images/n0687.mha
430,430,75,n0687.mha,1,75,749,694,/proccessed_data/images/n0687.mha
431,431,64,n0191.mha,1,60,568,217,/proccessed_data/images/n0191.mha
432,432,36,n0386.mha,1,47,762,735,/proccessed_data/images/n0386.mha
433,433,37,n0386.mha,1,29,725,771,/proccessed_data/images/n0386.mha
435,435,59,n0223.mha,1,65,270,527,/proccessed_data/images/n0223.mha
436,436,56,n0900.mha,1,63,760,360,/proccessed_data/images/n0900.mha
438,438,46,n0656.mha,1,40,803,647,/proccessed_data/images/n0656.mha
439,439,40,n0656.mha,1,39,830,724,/proccessed_data/images/n0656.mha
440,440,45,n0940.mha,1,45,794,433,/proccessed_data/images/n0940.mha
444,444,41,n0454.mha,1,43,757,321,/proccessed_data/images/n0454.mha
445,445,82,n0988.mha,1,69,652,648,/proccessed_data/images/n0988.mha
446,446,51,n0946.mha,1,52,768,353,/proccessed_data/images/n0946.mha
447,447,73,n0946.mha,1,59,820,563,/proccessed_data/images/n0946.mha
452,452,49,n0012.mha,1,47,245,631,/proccessed_data/images/n0012.mha
453,453,81,n0355.mha,1,87,653,401,/proccessed_data/images/n0355.mha
454,454,45,n0355.mha,1,42,789,688,/proccessed_data/images/n0355.mha
455,455,56,n0660.mha,1,62,818,569,/proccessed_data/images/n0660.mha
458,458,25,n0784.mha,1,29,270,310,/proccessed_data/images/n0784.mha
459,459,65,n0666.mha,1,45,274,248,/proccessed_data/images/n0666.mha
460,460,76,n0378.mha,1,53,729,585,/proccessed_data/images/n0378.mha
461,461,90,n0032.mha,1,99,538,308,/proccessed_data/images/n0032.mha
462,462,79,n0032.mha,1,88,705,599,/proccessed_data/images/n0032.mha
463,463,99,n0032.mha,1,119,543,632,/proccessed_data/images/n0032.mha
464,464,49,n0270.mha,1,60,223,402,/proccessed_data/images/n0270.mha
465,465,37,n0403.mha,1,37,155,230,/proccessed_data/images/n0403.mha
467,467,70,n1126.mha,1,63,558,631,/proccessed_data/images/n1126.mha
468,468,33,n0577.mha,1,37,158,747,/proccessed_data/images/n0577.mha
471,471,76,n1031.mha,1,80,333,562,/proccessed_data/images/n1031.mha
472,472,109,n0753.mha,1,73,717,770,/proccessed_data/images/n0753.mha
473,473,36,n0608.mha,1,47,193,490,/proccessed_data/images/n0608.mha
474,474,90,n1114.mha,1,86,692,490,/proccessed_data/images/n1114.mha
