original_image_name,orig_dataset,node21_img_id
308621225538486094782126042165831720947_v0awgl,padchest,c0288
1520_IM-0336-1002001,openi,c0289
13833054553889548223990961753888093689_zono9x,padchest,c0290
216840111366964012339356563862009048134017948_00-057-033,padchest,c0291
00000503_000,chestxray14,c0292
3646_IM-1808-0001-0002,openi,c0293
00000802_000,chestxray14,c0294
299420305281233550920060688828621122413_wetjhm,padchest,c0295
1999_IM-0651-1001,openi,c0296
268067949063535461542891608613056190529_ivmmni,padchest,c0297
00000951_000,chestxray14,c0298
00000253_000,chestxray14,c0299
00000023_000,chestxray14,c0300
00000362_000,chestxray14,c0301
00001650_000,chestxray14,c0302
427_IM-2070-1001,openi,c0303
00001874_000,chestxray14,c0304
2377_IM-0937-1001,openi,c0305
6808122342024803025743393532119035850_s0yq21,padchest,c0306
00000794_000,chestxray14,c0308
8270056274277815603725343282855604599_esz2nj,padchest,c0309
00000726_000,chestxray14,c0310
1381_IM-0245-1001,openi,c0311
245821956162672827381325343110021522181_abpflc,padchest,c0312
50797192644313181519453682382316632703_e3gm3i,padchest,c0313
54327576867559995440149898247128424851_gw4yxt,padchest,c0314
602_IM-2192-1001,openi,c0315
3329_IM-1594-1001,openi,c0316
2131_IM-0755-1001,openi,c0317
00000365_000,chestxray14,c0318
766_IM-2311-1001,openi,c0319
216840111366964012819207061112010306091306343_04-021-178,padchest,c0321
3661_IM-1821-1001,openi,c0322
00001660_000,chestxray14,c0323
2459_IM-0991-1001,openi,c0324
87488286199547125869040079910984744233_uzjj8e,padchest,c0325
00000761_008,chestxray14,c0326
1144_IM-0097-1001,openi,c0327
2394_IM-0944-1001,openi,c0328
00001018_000,chestxray14,c0329
3931_IM-2003-3001,openi,c0330
1319_IM-0205-1001,openi,c0331
00000350_000,chestxray14,c0332
2020_IM-0668-1001,openi,c0333
2053_IM-0691-1001,openi,c0334
39535753947375077185573184504417758273_9jt2m2,padchest,c0335
3649_IM-1811-3001,openi,c0336
00000530_000,chestxray14,c0337
00000616_000,chestxray14,c0338
2807_IM-1237-1001,openi,c0339
00001829_000,chestxray14,c0340
00000473_000,chestxray14,c0341
00000972_000,chestxray14,c0343
00001320_004,chestxray14,c0344
00001724_004,chestxray14,c0345
JPCNN079,jsrt,c0346
222721466694447434993312962581832250189_m1knnz,padchest,c0347
297305304730444250413354313071522579342_1ct40j,padchest,c0348
00000589_000,chestxray14,c0350
00000670_000,chestxray14,c0351
216840111366964012373310883942009180093923052_00-096-178,padchest,c0353
216840111366964012558082906712010060132841885_03-154-127,padchest,c0354
1415_IM-0264-1001,openi,c0355
114_IM-0096-1001,openi,c0356
216704016426590105186491608106290941348_8kz2zy,padchest,c0357
00001837_000,chestxray14,c0358
54147965736251086684304229630645138231_83jai3,padchest,c0359
00000138_000,chestxray14,c0360
00000938_000,chestxray14,c0361
3802821370194089275682417167359926561_tk27rq,padchest,c0362
32961238177850316672209872482512154529_nbywjc,padchest,c0363
2765_IM-1210-1001,openi,c0364
325593548875321104087358194668207205673_ag3cpc,padchest,c0365
2686_IM-1158-1001,openi,c0366
00001001_000,chestxray14,c0367
41007876373605561165506933282489078958_u387n2,padchest,c0368
00000348_002,chestxray14,c0369
722_IM-2282-1001,openi,c0370
63968953144901680021310199471852522354_igjtnv,padchest,c0371
3352202959926422512792033686288807662_o7612i,padchest,c0372
60111815004477746916714479607632640314_8l417h,padchest,c0373
325780572371902040042498677902658735694_c6a7sr,padchest,c0374
1026_IM-0021-2002,openi,c0375
216840111366964012558082906712010025090323296_02-124-009,padchest,c0377
38_IM-1911-1001,openi,c0379
00000620_001,chestxray14,c0380
1334_IM-0214-1001,openi,c0381
1915_IM-0595-1001,openi,c0382
107_IM-0049-1001,openi,c0383
1218_IM-0146-1001,openi,c0384
261783635780177012023690407683622779614_33ofbm,padchest,c0385
00001264_000,chestxray14,c0386
24243649581006948184925870546276193520_yef6od,padchest,c0387
JPCNN039,jsrt,c0388
00000006_000,chestxray14,c0389
1469_IM-0303-1001,openi,c0390
2026_IM-0671-1001,openi,c0391
00000750_000,chestxray14,c0392
1183_IM-0124-1001,openi,c0393
332283426891118036437865451023999431304_2_c9v2ie,padchest,c0394
00001590_000,chestxray14,c0395
330324745759424821132494701991767497957_9fc9au,padchest,c0396
588_IM-2183-1001,openi,c0397
3216_IM-1520-1001,openi,c0398
632_IM-2213-1001,openi,c0399
216840111366964013534861372972012327114205192_01-155-072,padchest,c0400
00000551_000,chestxray14,c0401
77408080916856537702751805929404344164_ja6uby,padchest,c0402
00001695_000,chestxray14,c0403
2714_IM-1180-1001,openi,c0404
00001011_001,chestxray14,c0405
00000475_000,chestxray14,c0406
200542610170242977730742359897147072313_ekzbg9,padchest,c0407
240170020663365564689574868995657953545_91cjiv,padchest,c0408
60015212564747840961848073059605333010_v72xup,padchest,c0409
216840111366964013962490064942014136141802072_01-174-086,padchest,c0410
00000034_001,chestxray14,c0411
319976350840661489788378306853554168892_is6ipx,padchest,c0412
JPCNN023,jsrt,c0413
1574_IM-0374-1001,openi,c0414
244896347058560976704111822044319988254_wiguhx,padchest,c0415
274087948791905380310848829981375984144_0o6os7,padchest,c0416
00000054_003,chestxray14,c0417
258119057806384875627856296047914283743_4dgdke,padchest,c0418
00000329_000,chestxray14,c0419
00001839_000,chestxray14,c0420
265146841635192681376288819358593235157_-d99cl,padchest,c0421
324529296563233678373453822930994245559_xyi1rs,padchest,c0422
3060_IM-1426-1003,openi,c0423
288119734734482875436795082417132334996_k4gx9m,padchest,c0424
1656_IM-0431-1001,openi,c0425
00000502_000,chestxray14,c0426
71_IM-2273-1001,openi,c0427
216840111366964012558082906712010064085317134_03-155-130,padchest,c0428
216840111366964012373310883942009180085919052_00-097-124,padchest,c0429
00001326_001,chestxray14,c0430
216840111366964013375835044302012143115338445_01-075-095,padchest,c0431
00001632_000,chestxray14,c0432
90651347082851316868509948075763501242_zkttan,padchest,c0433
70422446685890140703053019785353617035_rommkc,padchest,c0434
1995_IM-0651-1001,openi,c0435
95296210851012849475895763284900213694_qq33ku,padchest,c0436
00001061_000,chestxray14,c0437
00000867_000,chestxray14,c0438
968_IM-2458-1001,openi,c0439
00001206_000,chestxray14,c0440
247845946645474345832656069508376915522_dmyvx5,padchest,c0441
00001819_005,chestxray14,c0442
216840111366964013575787468332013021134615589_02-011-149,padchest,c0443
00000320_000,chestxray14,c0444
JPCNN090,jsrt,c0445
216840111366964013340662495472012118134312534_01-073-132,padchest,c0446
00000599_000,chestxray14,c0447
300193190210401106387449993951332707999_yabhjq,padchest,c0448
00001665_000,chestxray14,c0449
28338686032803149619116188886785618078_2gqfmk,padchest,c0450
197231410089221486981358122017672331697_4kb0al,padchest,c0451
00001440_000,chestxray14,c0452
00000594_000,chestxray14,c0453
318_IM-1500-1001,openi,c0454
JPCNN047,jsrt,c0455
279123277379287738444379546418843788786_je4rys,padchest,c0456
95808106642638082783137756468934693129_ke6qej,padchest,c0457
202896776942468321748133123586789728360_fm9fcq,padchest,c0458
2228_IM-0831-1001,openi,c0459
00000827_001,chestxray14,c0460
00001593_000,chestxray14,c0461
00001100_000,chestxray14,c0462
1579_IM-0376-1001,openi,c0463
00000898_001,chestxray14,c0464
00001347_001,chestxray14,c0465
1734_IM-0484-1001,openi,c0466
2620_IM-1109-1001,openi,c0467
3271_IM-1552-1001,openi,c0468
943_IM-2439-5005,openi,c0469
00001935_000,chestxray14,c0470
133_IM-0212-1001,openi,c0471
JPCNN075,jsrt,c0472
216840111366964012989926673512011131131236507_00-156-033,padchest,c0473
75472649112230357807437444725325788610_rbf0g5,padchest,c0474
887_IM-2400-1001,openi,c0475
216840111366964013686042548532013143111544929_02-041-039,padchest,c0476
216840111366964014008416513202014149110204650_01-194-065,padchest,c0477
289813269991598332532654906677599208958_u5qqk4,padchest,c0478
3580_IM-1760-1001,openi,c0479
00001337_000,chestxray14,c0480
00000553_000,chestxray14,c0481
940_IM-2437-2001,openi,c0483
JPCNN084,jsrt,c0484
2148_IM-0767-3001,openi,c0485
253688522655189567921154920626186803139_uaf90h,padchest,c0486
00001041_000,chestxray14,c0487
200190083008816408563798002986244828828_hjie9j,padchest,c0488
258268267700071286318425553080034028763_g7mlqt,padchest,c0489
1274_IM-0183-1001,openi,c0490
00000793_000,chestxray14,c0491
00000209_000,chestxray14,c0492
216840111366964012959786098432011041134826881_00-164-066,padchest,c0493
1275224347932024852236_00-039-108,padchest,c0494
00000757_000,chestxray14,c0495
3314_IM-1586-1001,openi,c0496
87043334857763150774733319808696967287_eba8re,padchest,c0497
00001150_000,chestxray14,c0498
3041_IM-1415-1001,openi,c0499
6810211655893064695555157316210481137_ljor1h,padchest,c0500
3538_IM-1731-1001,openi,c0501
00000758_000,chestxray14,c0502
00001431_000,chestxray14,c0503
00001276_000,chestxray14,c0504
00001105_000,chestxray14,c0505
00001210_004,chestxray14,c0506
327664045322457781279271451708542996709_pbvyak,padchest,c0507
315375960500866352793003594119397257282_52iydc,padchest,c0508
00000436_000,chestxray14,c0509
00000136_000,chestxray14,c0510
66542221742995885584652303672522208992_gjjvxg,padchest,c0511
00001266_000,chestxray14,c0512
72704330431048329598174840240197646539_muez7y,padchest,c0513
216840111366964013686042548532013154143730028_02-097-113,padchest,c0514
00000540_000,chestxray14,c0515
64169643439197798339911275750115252758_utydft,padchest,c0516
318616893003051883007532169003747403700_i3b0eh,padchest,c0517
227768811467710795873959435817271580506_xoakem,padchest,c0518
00001821_001,chestxray14,c0519
307606217768076696641471280723313781335_f56bfx,padchest,c0520
324432518407969623174011102721223339867_xc4f2j,padchest,c0521
81218434660571844444222646350166825712_ku6prj,padchest,c0522
609_IM-2197-1001,openi,c0523
262690946311044948103730164333095487186_97i6k8,padchest,c0524
212209874719255953477221550682560604313_r0rgw2,padchest,c0525
216840111366964013829543166512013330141552236_02-106-118,padchest,c0526
78645633090100665307778913278906552208_g3rzvv,padchest,c0527
291404044544696464137996476783248176815_yr8in3,padchest,c0528
39784208199921295109833158051332913822_jjhrn5,padchest,c0529
253832679731993660079448869980466487368_e03iav,padchest,c0530
00000927_000,chestxray14,c0531
216840111366964012373310883942009182103612727_00-027-139,padchest,c0532
87_IM-2390-1001,openi,c0533
216840111366964013534861372972012331102251769_01-127-092,padchest,c0534
47481551763215566757392610054682744939_3azhzs,padchest,c0535
00001426_000,chestxray14,c0536
00000765_001,chestxray14,c0537
67142674383459260652430069565256825889_gmx4ov,padchest,c0538
00001247_000,chestxray14,c0539
296977177755580203331733491340549398299_6ntgr6,padchest,c0540
79355438231207002902084777212886277284_k1cyrv,padchest,c0541
216840111366964013451228379692012261155323129_01-056-171,padchest,c0542
3268_IM-1551-1001,openi,c0543
1400_IM-0256-1001,openi,c0544
563_IM-2164-1001,openi,c0545
565_IM-2166-1001,openi,c0546
216840111366964013590140476722013063182057520_02-055-069,padchest,c0547
00000478_002,chestxray14,c0548
1206_IM-0139-1001,openi,c0549
00001622_000,chestxray14,c0550
96668290996217107902574095490828411428_5pxqwc,padchest,c0551
216840111366964012558082906712010074101929704_03-160-118,padchest,c0552
96895699535156938228135970872677525186_z25mmq,padchest,c0553
216840111366964012339356563862009047115309877_00-060-033,padchest,c0554
1028_IM-0022-1001,openi,c0555
216840111366964012989926673512011130143153083_00-155-154,padchest,c0556
313728840001931054959476505024342557272_hyhb7v,padchest,c0557
216840111366964013590140476722013050091844775_02-063-185,padchest,c0558
2240_IM-0838-1001,openi,c0559
212357034160444768552196115460723241276_9pxbi4,padchest,c0560
JPCNN080,jsrt,c0561
00001051_000,chestxray14,c0562
28266144257416006555505904114162802857_1nsy5i,padchest,c0563
210335288386753219149425163420107477377_szrnke,padchest,c0564
330_IM-1577-0001-0002,openi,c0565
280419470930114705521026451709530407675_sv46sa,padchest,c0566
204_IM-0683-1001,openi,c0567
00001882_000,chestxray14,c0568
3450_IM-1673-1001,openi,c0569
2005_IM-0656-1001,openi,c0572
1005_IM-0006-1001,openi,c0573
231146730924568406732865936338665237802_o3v87m,padchest,c0574
49951034854725910980631707796081134817_38f62l,padchest,c0575
3047_IM-1418-1001,openi,c0576
3338_IM-1599-2001,openi,c0577
311798435023743312634901244777565813065_qaniew,padchest,c0578
00001015_000,chestxray14,c0579
00001230_001,chestxray14,c0580
2527_IM-1043-1001,openi,c0581
00001048_001,chestxray14,c0582
00000815_000,chestxray14,c0583
37939288112577681338587656212263781048_3xakqr,padchest,c0584
213620143904808823257889393519752381910_wkhzt0,padchest,c0585
00000143_003,chestxray14,c0586
1757_IM-0495-1001,openi,c0587
00000817_000,chestxray14,c0588
00001086_001,chestxray14,c0589
3504_IM-1707-1001,openi,c0590
00000654_000,chestxray14,c0591
292510274977949857684739438777819747535_692my7,padchest,c0592
209735700842345732855405907525412274384_j24lgy,padchest,c0593
1551_IM-0359-1001,openi,c0594
222_IM-0823-1001,openi,c0595
216840111366964013307756408102012086095319758_01-091-030,padchest,c0596
216840111366964013217898866992011332132824077_01-025-087,padchest,c0597
84073976391871078977269648559238898238_a4r3kc,padchest,c0598
00001433_001,chestxray14,c0599
00000479_000,chestxray14,c0600
00001143_001,chestxray14,c0601
269613468801418760902343970503826365857_kixctd,padchest,c0602
00001774_000,chestxray14,c0603
30306345779323722365156223406115527967_u4jpid,padchest,c0604
82025769012721901524244942629737628678_nap7r5,padchest,c0605
83361590321977948800750165748023745574_pfyqt5,padchest,c0606
300739968028737602901461218565264425265_4yqwgu,padchest,c0607
216840111366964012373310883942009140141800312_00-035-177,padchest,c0608
249477080920546225827245735202039462722_ck6dja,padchest,c0609
2540_IM-1052-1001,openi,c0610
215770910367445820241828147180759655394_lxefzm,padchest,c0611
89_IM-2402-1001,openi,c0612
2376_IM-0936-1001,openi,c0613
00000219_002,chestxray14,c0614
00001816_000,chestxray14,c0615
00000682_000,chestxray14,c0616
00000301_000,chestxray14,c0617
3499_IM-1703-2002,openi,c0618
00001530_000,chestxray14,c0619
00001288_000,chestxray14,c0620
195689708544924073329395042919927362286_8xq7pu,padchest,c0621
45433969527875247220524146366786006852_8i1jco,padchest,c0622
216840111366964012558082906712010012085027246_02-127-152,padchest,c0623
1824_IM-0535-1001,openi,c0624
252_IM-1038-1001,openi,c0625
1042_IM-0034-1001,openi,c0626
1424_IM-0271-2002,openi,c0627
00000091_000,chestxray14,c0628
00001529_003,chestxray14,c0629
230944110935259539772144570680418476969_4sdkws,padchest,c0630
00000855_000,chestxray14,c0631
1983_IM-0640-2002,openi,c0632
41477903318433620476860539930969554159_96t1g6,padchest,c0633
00001490_000,chestxray14,c0634
2758_IM-1206-1001,openi,c0635
40298121404868195509808036222962220659_olrle6,padchest,c0636
00001653_000,chestxray14,c0637
00000926_000,chestxray14,c0638
3982_IM-2039-1001,openi,c0639
2038_IM-0682-1001,openi,c0640
00000108_000,chestxray14,c0641
1523_IM-0339-1001,openi,c0642
977_IM-2465-1001,openi,c0643
1899_IM-0582-1001,openi,c0644
00000884_000,chestxray14,c0645
1253_IM-0171-0001-0002,openi,c0646
64268595890408749153092234095697948176_hzfe2y,padchest,c0647
256590622319962749312727686594651462497_xo7k13,padchest,c0648
307161368061670818518329589290034621452_ahzokq,padchest,c0649
1052_IM-0040-1001,openi,c0650
964_IM-2454-1001,openi,c0651
3617_IM-1789-1001,openi,c0652
JPCNN059,jsrt,c0654
39274577357848225409008165060878191387_py6vjj,padchest,c0655
00001922_000,chestxray14,c0656
79916092551029421119895594484714802054_56lkh4,padchest,c0657
480_IM-2104-1001,openi,c0658
00000839_000,chestxray14,c0659
57926114817417870377706156949362593486_xvtvfc,padchest,c0660
449_IM-2080-1001,openi,c0661
216840111366964013438150077902012214113032786_01-037-014,padchest,c0662
00001525_001,chestxray14,c0663
3764_IM-1884-1001,openi,c0664
00001108_000,chestxray14,c0665
3475_IM-1688-1001,openi,c0666
2523_IM-1041-1001,openi,c0667
00001603_001,chestxray14,c0668
2965_IM-1358-1001,openi,c0669
3434_IM-1662-1001,openi,c0670
3205_IM-1513-1001,openi,c0671
327597579513982146456619678917990203204_ktahaz,padchest,c0672
197359593553636605026218100411194726767_7r0j68,padchest,c0673
00001232_004,chestxray14,c0674
00001586_000,chestxray14,c0675
393_IM-2002-1001,openi,c0676
00001084_000,chestxray14,c0677
1796_IM-0517-1002,openi,c0678
00001768_001,chestxray14,c0679
